#sortabletable(|String|String|String|Number|String|String|String|String|Number|Number|Number|Number|Number|String|String|String,1){{
|~画像|~名前|~属性|~武器種|~適正&br;Rank|~奥義|~第1スキル|~第2スキル|~第3スキル|~MAX&br;Lv|~Min&br;HP|~Min&br;ATK|~Max&br;HP|~Max&br;ATK|~武器シリーズ/分類|~カテゴリ1&br;(関連コンテンツ)|~カテゴリ2&br;(詳細・その他)|h
|&attachref(img/1040408400.png,15%);|フォニックロッド((楽器用アビリティを強化する隠し効果持ち))|COLOR(orange):光|杖|10|[[エクレールラルム>武器奥義#eclairlarme]]|[[マジックチャージ>スキル一覧#magiccharge]]|[[スピードスペル>スキル一覧#speedspell]]|||37|280|230|1730|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]](コラボ)|空で紡ぐ絆の物語|
|&attachref(img/1040408500.png,15%);|ウィーブルロッド|COLOR(purple):闇|杖|10|[[リベールイグニッション>武器奥義#revailignition]]|[[インテリジェンス>スキル一覧#intelligence]]|[[デクステリティ>スキル一覧#dexterity]]|||33|300|226|1750|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]](コラボ)|空で紡ぐ絆の物語|
|&attachref(img/1040408600.png,15%);|[[白虎牙杖>武器/白虎牙杖 (SSR)]]|COLOR(brown):土|杖|1|[[四象大道帝杯・西白++>武器奥義#seihaku]]|[[地裂の煽惑・参>スキル一覧#tiretunosenwaku3]]|[[地裂の攻刃>スキル一覧#tiretunokoujin]]||150|37|265|260|1960|[[四象武器(四属性)>武器概要/四象武器]]|イベント/四象降臨|－|
|&attachref(img/1040408700.png,15%);|ブラック・アンド・ダークネス|COLOR(purple):闇|杖|60|[[ダークマター>奥義一覧#darkmatter]]|[[奈落の攻刃>スキル一覧#narakunokoujin]]|[[先制の黒の結界>スキル一覧#senseinokuro]]||150|39|343|262|2019|[[プライマルシリーズ>武器概要/召喚石マルチバトル武器]]|マルチバトル/召喚石マルチ(神撃・究極の竜)|リッチ討伐戦|
|&attachref(img/1040408800.png,15%);|キャピュレティオウス|COLOR(orange):光|杖|10|[[キャピュレティス・ラダー>武器奥義#capuladder]]|[[天光の攻刃>スキル一覧#tenkounokoujin]]|[[先制の白壁>スキル一覧#senseinohakuheki]]|||46|370|287|2165|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ジュリエット (SSR)]]加入|
|&attachref(img/1040408900.png,15%);|モンタギュオウス|COLOR(blue):水|杖|10|[[ヘラルド・オブ・ザ・ムーン>武器奥義#heraldofthemoon]]|[[霧氷の攻刃>スキル一覧#muhyounokoujin]]|[[先制の氷壁>スキル一覧#senseinohyouheki]]|||44|380|283|2175|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ロミオ (SSR)]]加入|
|&attachref(img/1040409000.png,15%);|インフェルノリークス|COLOR(red):火|杖|10|[[グラットン・フレイム>武器奥義#grattonflame]]|[[紅蓮の二手>スキル一覧#gurennonite]]|[[火の攻刃>スキル一覧#hinokoujin]]|||40|400|280|2200|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[アンスリア (SSR)]]加入|
|&attachref(img/1040409100.png,15%);|星屑の聖杖|COLOR(blue):水|杖|10|[[スターダスト・フォール>武器奥義#stardustfall]]|[[霧氷の攻刃>スキル一覧#muhyounokoujin]]|[[先制の青の結界>スキル一覧#senseinoaonokekkai]]|||49|350|288|2140|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[アルルメイヤ (SSR)クリスマスバージョン]]加入|
|&attachref(img/1040409200.png,15%);|グリダーヴォル|COLOR(purple):闇|杖|10|[[アストラルブラスト>武器奥義#astralblast]]|[[奈落の暴君>スキル一覧#narakunoboukun]]|[[奈落の治癒>スキル一覧#narakunotiyu]]|||42|390|282|2180|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[マルキアレス (SSR)]]加入|
|&attachref(img/1040409300.png,15%);|ルナのおともだち|COLOR(purple):闇|杖|10|[[ファントムハウル++>武器奥義#phantomhowl]]|[[お友達になってくれる？>スキル一覧#otomodatininatte]]|[[魂の共鳴>スキル一覧#tamasiinokyoumei]]||150|31|308|231|2073|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]](コラボ)|Shadowverse Duelist of Eternity|
|&attachref(img/1040409500.png,15%);|ローズクリスタルワンド|COLOR(red):火|杖|60|[[ドミネイションフレア>奥義一覧#dominationflare]]|[[紅薔薇の棘>スキル一覧#benibaranotoge]]|[[紅薔薇の花弁>スキル一覧#benibaranokaben]]|||39|345|260|2030|[[ローズシリーズ>武器概要/ローズシリーズ]]|マルチバトル/ローズクイーン討伐戦HL|トレジャー交換|
|&attachref(img/1040409600.png,15%);|銀の依代の杖|COLOR(orange):光|杖|1|[[銀の瞬き>武器奥義#ginnomatataki]]|[[残夢の匣>スキル一覧#zanmunohako]]|無し||100|32|240|224|1680|依代武器|エクストラクエスト/ディメンション・ヘイロー|－|
|&attachref(img/1040409700.png,15%);|黄金の依代の杖|COLOR(orange):光|杖|1|[[黄金の瞬き>武器奥義#ougonomatataki]]|[[鼓動>スキル一覧#kodou]]|無し||100|33|248|231|1740|依代武器|銀の依代武器を特殊武器強化|－|
|&attachref(img/1040409800.png,15%);|テュルソス|COLOR(brown):土|杖|10|[[バッコース>武器奥義#bakkousu]]|[[地裂の攻刃>スキル一覧#tiretunokoujin]]|[[先制の岩壁>スキル一覧#senseinogannpeki]]|||41|395|281|2185|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[レ・フィーエ (SSR)土属性バージョン]]加入|
|&attachref(img/1040409900.png,15%);|ブラック・ウロボロス|COLOR(purple):闇|杖|10|[[コラプト・インフィニティ>武器奥義#corruptinfinity]]|[[奈落の攻刃>スキル一覧#narakunokoujin]]|[[肉体修復>スキル一覧#nikutaisyuufuku]]|||41|400|274|2230|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[カリオストロ (SSR)闇属性バージョン]]加入|
|&attachref(img/1040410000.png,15%);|[[ブルースフィア>武器/ブルースフィア (SSR)]]|COLOR(blue):水|杖|40|[[ベイルアウト>武器奥義#baleout]]|[[霧氷の攻刃II>スキル一覧#muhyounokoujin2]]|||150|64|375|335|2300|[[リミテッドシリーズ>武器概要/リミテッドシリーズ]]|レジェンドガチャ(グランデフェス)|[[ドランク(リミテッド)>ドランク (SSR)]]加入|
|&attachref(img/1040410100.png,15%);|[[ファイア・オブ・プロメテウス>武器/ファイア・オブ・プロメテウス (SSR)]]|COLOR(red):火|杖|60|[[フェルラ・ネーザックス>武器奥義#ferula]]|[[紅蓮の呪印>スキル一覧#gurennojyuin]]|[[業火の無双>スキル一覧#goukanomusou]]||150|41|333|264|2009|[[エピックウェポン>武器概要/エピックウェポン]]|マルチバトル/エピックHL|プロメテウスHL|
|&attachref(img/1040411400.png,15%);|マナリアンホーリーロッド|COLOR(green):風|杖|10|[[ホーリーウィンド>武器奥義#holywind]]|[[マナリアの大いなる秘術>スキル一覧#manalianoooinaru]]|[[マナリアの聖なる息吹>スキル一覧#manalianoseinaru]]|||34|290|227|1740|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]]|孤独の竜姫|
|&attachref(img/1040411500.png,15%);|スナックポール|COLOR(red):火|杖|10|[[ロリポップナイトメア>武器奥義#lolipopnightmare]]|[[紅蓮の攻刃>スキル一覧#gurennokoujin]]||||44|380|283|2185|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[ダヌア (SSR)ハロウィンバージョン]]加入|
|&attachref(img/1040412800.png,15%);|封印の杖|COLOR(purple):闇|杖|10|[[しあわせの魔法++>武器奥義#shiawasenomahou]]|[[闇の力を秘めし鍵>スキル一覧#yaminotikarawohimesikagi]]|[[私だけの笑顔の魔法>スキル一覧#watashidakenoegaonomahou]]||150|32|300|270|2100|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/コラボイベント|カードキャプターさくら ～さくらと不思議な空の冒険 ～|
|&attachref(img/1040412900.png,11%);|トリートスティック|COLOR(purple):闇|杖|10|[[パンプキンパンプキン>武器奥義#pumppump]]|[[奈落の攻刃>スキル一覧#narakunokoujin]]|[[トリック・オア・トリート>スキル一覧#trickortreat]]|||33|298|226|1749|イベント武器(その他)|イベント/その他|ハロウィンパーティー ～迷子のジャックと誘霊の篝火～|
|&attachref(img/1040413200.png,15%);|D・ビィ|COLOR(purple):闇|杖|10|[[気弾>武器奥義#kidan]]|[[アゲていこうぜェ…>スキル一覧#ageteikouzexe]]||||45|375|255|2310|特典|購入特典|グラブルフェスパンフレット|
|&attachref(img/1040413300.png,15%);|アーキテクトベース|COLOR(purple):闇|杖|10|[[踊ル光鞭>武器奥義#odoruhikarimuchi]]|[[アーキテクト・アーツ>スキル一覧#arkitectarts]]|[[アーキテクト・ATK II>スキル一覧#arkitectatk2]]|||32|300|225|1760|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/シナリオイベント|Right Behind You|
|&attachref(img/1040414000.png,15%);|メドゥシアナ★ステッキ|COLOR(brown):土|杖|10|[[リーサルアイ>武器奥義#lethaleye]]|[[地裂の攻刃>スキル一覧#tiretunokoujin]]|[[魔蛇の凶牙>スキル一覧#majanokyouga]]|||51|341|307|2086|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[メドゥーサ (SSR)バレンタインバージョン]]加入|
|&attachref(img/1040414100.png,15%);|[[テュロスワンド>武器/テュロスワンド (SSR)]]|COLOR(blue):水|杖|120|[[テーバイ>武器奥義#tebai]]|[[海神方陣・杖術>スキル一覧#kaisinjoujutsu]]|[[イクシード・ウォータ>スキル一覧#ikusidwater]]||150|45|313|268|1989|[[レガリアシリーズ>武器概要/レガリアシリーズ]]|マルチバトル/マグナIIHL|エウロペHL|
|&attachref(img/1040414200.png,15%);|[[アビススパイン>武器/アビススパイン (SSR)]]|COLOR(purple):闇|杖|120|[[クアドラ>武器奥義#quadra]]|[[黒霧方陣・神威II>スキル一覧#kurogirihoujinshinni2]]|[[黒霧方陣・必殺>スキル一覧#kurogirihoujinhissatu]]||150|39|343|262|2019|[[レガリアシリーズ>武器概要/レガリアシリーズ]]|マルチバトル/マグナIIHL|アバターHL|
|&attachref(img/1040414300.png,15%);|[[セフィラの翠杖>武器/セフィラの翠杖 (SSR)]]|COLOR(orange):光|杖|60|[[フォービドゥンピラー>武器奥義#forbiddenpillar]]|[[騎解方陣・攻刃II>スキル一覧#kikaihoujinkoujin2]]|[[セフィラテック・ライト>スキル一覧#sefiraticlight]]|| |43|325|266|2000|[[セフィリアン・オールドウェポン>武器概要/セフィリアン・オールドウェポン]]|[[アーカルムの転世]]|アーカルム ポイント交換&br;探索で直接ドロップ|
|&attachref(img/1040414400.png,15%);|[[リターナースタッフ>武器/リターナースタッフ (SSR)]]|COLOR(green):風|杖|10|[[ソウル・リゲインド>武器奥義#soulregained]]|[[乱気の攻刃>スキル一覧#rannkinokoujin]]||||48|345|310|2090|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ユリウス (SSR)]]加入|
|&attachref(img/1040414500.png,15%);|[[司法神の錫杖>武器/司法神の錫杖 (SSR)]]|COLOR(orange):光|杖|10|[[ジャッジメント・ライト>武器奥義#judgementlight]]|[[ジャスティス・ロッド>スキル一覧#justicerod]]|[[授かりし託宣>スキル一覧#sazukarishitakusen]]||150|42|253|280|2070|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|[[サイドストーリー]](コラボ)|プリンセスコネクト！Re：Dive 蒼空の食卓をともに|
|&attachref(img/1040414600.png,15%);|[[マジェスタス>武器/マジェスタス (SSR)]]|COLOR(purple):闇|杖|60|[[リーラ・シャウアー>武器奥義#lilashower]]|[[憎悪の堅守>スキル一覧#zouonokensyu]]|[[憎悪の神威>スキル一覧#zouonokamui]]||150|40|345|320|2440|[[マリスシリーズ>武器概要/マリスシリーズ]]|マルチバトル/マリスHL|ティアマト・マリスHL|
|&attachref(img/1040414700.png,15%);|[[虚空の拝腕>武器/虚空の拝腕 (SSR)]]|COLOR(blue):水|杖|100|[[ホロウストリーム>武器奥義#hollowstream]]|[[虚飾の隻腕>スキル一覧#kyosyokunosekiwan]]|[[凱歌の誓約>スキル一覧#gaikanoseiyaku]]||150|50|350|360|2660|[[虚ろなる神器>武器概要/虚ろなる神器シリーズ]]|マルチバトル/アーカーシャHL|トレジャー交換|
|&attachref(img/1040414800.png,11%);|[[キャットテイル>武器/キャットテイル (SSR)]]|COLOR(brown):土|杖|10|[[ゴーニャンウェイ>武器奥義#gonyanway]]|[[ふわふわしっぽ>スキル一覧#huwahuwasippo]]|[[自由のかたち>スキル一覧#jiyuunokatati]]|||33|298|211|1824|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/シナリオイベント|猫島狂詩曲（ミーツェノス・ラプソディ）|
|&attachref(img/1040414900.png,15%);|[[シルフィウム>武器/シルフィウム (SSR)]]|COLOR(purple):闇|杖|10|[[エンタングルハート>武器奥義#entagleheart]]|[[奈落の背水>スキル一覧#narakunohaisui]]|[[闇の守護>スキル一覧#yaminosyugo]]|||54|329|303|2073|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[クラリス (SSR)バレンタインバージョン]]加入|
|&attachref(img/1040415000.png,15%);|[[絶対否定の杖>武器/絶対否定の杖 (SSR)]]|COLOR(blue):水|杖|100|[[アポカリプス・グレイシア＋>武器奥義#apogre]]|[[霧氷の神威>スキル一覧#muhyounokamui]]|[[黙示の導き>スキル一覧#anji]]|[[福音の導き>スキル一覧#hukuin]]|200|50|350|420|3140|[[終末の神器>武器概要/終末の神器シリーズ]]|マルチバトル/ダーク・ラプチャー|－|
|&attachref(img/1040415100.png,15%);|[[永遠拒絶の杖>武器/永遠拒絶の杖 (SSR)]]|COLOR(blue):水|杖|100|[[アポカリプス・グレイシア＋>武器奥義#apogre]]|[[海神方陣・神威III>スキル一覧#kaijinkamui3]]|[[黙示の導き>スキル一覧#anji]]|[[福音の導き>スキル一覧#hukuin]]|200|50|350|420|3140|[[終末の神器>武器概要/終末の神器シリーズ]]|マルチバトル/ダーク・ラプチャー|－|
|&attachref(img/1040415200.png,15%);|[[氷星の煌杖>武器/氷星の煌杖 (SSR)]]|COLOR(blue):水|杖|10|[[フリーレン・アルプ・トラウム>武器奥義#freealp]]|[[渦潮の星晶>スキル一覧#uzusionoseisyou]]|[[渦潮の三手>スキル一覧#uzusionosante]]|||52|345|300|2095|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[マキュラ・マリウス (SSR)]]加入|
|&attachref(img/1040415400.png,15%);|[[エウリピデス>武器/エウリピデス (SSR)]]|COLOR(brown):土|杖|10|[[フルグライト>武器奥義#fulgurite]]|[[地裂の攻刃>スキル一覧#tiretunokouji]]|[[大地の二手>スキル一覧#daitinonite]]|||50|350|300|2090|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[メドゥーサ (SSR)ガチャバージョン]]加入|
|&attachref(img/1040415500.png,15%);|[[三相女神>武器/三相女神 (SSR)]]|COLOR(green):風|杖|10|[[トリプル・ゴッデス>武器奥義#triplegoddes]]|[[竜巻の攻刃>スキル一覧#tatumakinokoujin]]|[[竜巻の守護>スキル一覧#tatumakinosyugo]]|||52|339|293|2133|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[バイヴカハ (SSR)]]加入|
|&attachref(img/1040415600.png,15%);|[[オンリー・プリティ・ガール>武器/オンリー・プリティ・ガール (SSR)]]|COLOR(blue):水|杖|10|[[アルティメット・キューティ>武器奥義#ultimatecutie]]|[[渦潮の刹那>スキル一覧#uzushionosetsuna]]|[[理外の美少女>スキル一覧#rigainobisyoujo]]||150|54|330|260|2293|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[カリオストロ (SSR)水着バージョン]]加入|
|&attachref(img/1040415700.png,15%);|[[聖域の錫杖>武器/聖域の錫杖 (SSR)]]|COLOR(blue):水|杖|60|[[レゾナンス・メロディ>武器奥義#resonancemelody]]|[[霧氷の渾身>スキル一覧#aobosinokonsin]]|[[レゾナンス・スタッフ>スキル一覧#resonancestaff]]||150|43|320|266|2000|[[エピックウェポン>武器概要/エピックウェポン]]|マルチバトル/エピックHL|カー・オンHL|
|&attachref(img/1040415800.png,15%);|[[支配の天秤>武器/支配の天秤 (SSR)]]|COLOR(purple):闇|杖|60|[[死罪の計量>武器奥義#shizainokeiryou]]|[[グラファイト・アーツ>スキル一覧#grafightarts]]|[[ソール・イコーリティ>スキル一覧#saulequality]]||150|38|345|261|2020|[[エピックウェポン>武器概要/エピックウェポン]]|マルチバトル/エピックHL|アヌビスHL|
|&attachref(img/1040415900.png,15%);|[[サマーメモリーリークス>武器/サマーメモリーリークス (SSR)]]|COLOR(purple):闇|杖|10|[[ティアーモ>武器奥義#tiamo]]|[[憎悪の渾身>スキル一覧#zouonokonshin]]|[[闇の乱舞>スキル一覧#yaminoranbu]]|||43|380|281|2180|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[アンスリア (SSR)浴衣バージョン]]加入|
|&attachref(img/1040416000.png,15%);|[[ウィッチブルーム>武器/ウィッチブルーム (SSR)]]|COLOR(brown):土|杖|10|[[スイーツストリーム>武器奥義#sweetsstream]]|[[地裂の攻刃>スキル一覧#tiretunokoujin]]|[[土の技巧>スキル一覧#tutinogikou]]|||35|424|255|2313|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[真紅と冥闇 ゼタ＆バザラガ (SSR)ハロウィンバージョン]]加入|
|&attachref(img/1040416100.png,15%);|[[ネーレウスの杖>武器/ネーレウスの杖 (SSR)]]|COLOR(blue):水|杖|10|[[ライムオンフラワー>武器奥義#rimeonflower]]|[[霧氷の攻刃>スキル一覧#muhyounokoujin]]|[[渦潮の進境>スキル一覧#uzushionosinkyou]]&br;[[海神の予言>スキル一覧#kaijinnoyogen]]||150|48|360|280|2190|[[ヴィンテージシリーズ>武器概要/ヴィンテージシリーズ]]|ムーン交換|ゴールドムーン×30|
|&attachref(img/1040416200.png,15%);|[[ホーリーナイトセプター>武器/ホーリーナイトセプター (SSR)]]|COLOR(brown):土|杖|10|[[グラス・スウォーム>武器奥義#glasssworm]]|[[地裂の秘奥>スキル一覧#tiretsunohioku]]||||49|354|288|2148|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[マギサ (SSR)クリスマスバージョン]]加入|
|&attachref(img/1040416300.png,15%);|[[カラダンダ>武器/カラダンダ (SSR)]]|COLOR(red):火|杖|60|[[リグ・ヴェーダ>武器奥義#riguveda]]|[[業火の技巧>スキル一覧#goukanogikou]]|[[業火の進境>スキル一覧#goukanoshinkyou]]||150|41|333|320|2428|[[マリスシリーズ>武器概要/マリスシリーズ]]|マルチバトル/マリスHL|リヴァイアサン・マリスHL|
|&attachref(img/1040416500.png,11%);|[[ゴライコウ>武器/ゴライコウ (SSR)]]|COLOR(brown):土|杖|50|[[ハツヒカゲ>武器奥義#hatsuhikage]]|[[グラウンドオブアームズ>スキル一覧#groundofarms]]|[[サンライト・ブースト>スキル一覧#sunriseboost]]||150|43|315|309|2275|[[ブレイブグラウンド武器>武器概要/ブレイブグラウンド武器]]|イベント/ブレイブグラウンド|－|
|&attachref(img/1040416600.png,12%);|[[ユグドラシル・ブランチ>武器/ユグドラシル・ブランチ (SSR)]]|COLOR(brown):土|杖|60|[[アクシスガーデン>武器奥義#axisgarden]]|[[花樹の支配者>スキル一覧#kajyunoshihaisya]]|[[アストラル・アーツ>スキル一覧#astralarts]]||200|44|318|267|1994|[[アストラルウェポン>武器概要/アストラルウェポン]]|[[フリークエスト/六竜討伐戦]]|GBVSのDLC特典でも入手可能|
|&attachref(img/1040416700.png,15%);|[[ドラゴニックロッド>武器/ドラゴニックロッド (SSR)]]|COLOR(green):風|杖|100|[[飄風の檻＋>武器奥義#hyoufuu]]|[[イーウィヤの劫風>スキル一覧#yiwiya]]|[[四玉の裁き>スキル一覧#shigyoku]]||150|47|364|294|2220|[[ドラゴニックウェポン>武器概要/ドラゴニックウェポン]]|フリークエスト/六竜討伐戦|トレジャー交換|
|&attachref(img/1040416800.png,15%);|[[トロピカルフェアリー>武器/トロピカルフェアリー (SSR)]]|COLOR(red):火|杖|10|[[涼夜の花>武器奥義#ryouyanohana]]|[[紅蓮の攻刃>スキル一覧#gurennokoujin]]|[[火の渾身>スキル一覧#hinokonsin]]|||45|374|282|2178|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[ティナ (SSR)水着バージョン]]加入|
|&attachref(img/1040416900.png,15%);|[[レッドスフィア>武器/レッドスフィア (SSR)]]|COLOR(red):火|杖|10|[[レッドアラート>武器奥義#redalert]]|[[業火の刹那>スキル一覧#goukanosetuna]]|[[火の秘奥>スキル一覧#hinohioku]]|||56|319|307|2053|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ドランク (SSR)火属性バージョン]]加入|
|&attachref(img/1040417000.png,15%);|[[ぴにゃの書>武器/ぴにゃの書 (SSR)]]|COLOR(purple):闇|杖|10|[[黒い翼の生物、突撃>奥義一覧#kuroitubasanoseibutu]]|[[アンノウン・ATK II>スキル一覧#unkown_atk2]]|[[封印されし未確認の力>スキル一覧#huuinsaresimikakuninnotikara]]||150|30|313|206|1849|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/コラボイベント|シンデレラファンタジー ～ふたたび始まる空の旅 ～|
|&attachref(img/1040417100.png,15%);|[[十天光輝の錫杖>武器/十天光輝の錫杖 (SSR)]]|COLOR(prange):光|杖|10||||||||||十天光輝|フリークエスト/光輝を求めし者|(武器スキン用)|
|&attachref(img/1040417800.png,11%);|[[アウギュステ記念晶杖>武器/アウギュステ記念晶杖 (SSR)]]|COLOR(orange):光|杖|10|[[アウギュステ・スプラッシュ>武器奥義#augyusp]]|[[リゾートの攻刃>スキル一覧#resort]]|[[あの夏の記憶>スキル一覧#anonatuno]]|||38|275|231|1725|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/シナリオイベント|わたしの愛しのアウギュステ|
|&attachref(img/1040417900.png,15%);|[[ニーラカンタ>武器/ニーラカンタ (SSR)]]|COLOR(red):火|杖|120|[[ヴィサルガ>武器奥義#visaruga]]|[[機炎方陣・渾身II>スキル一覧#kienhoujinkonsin2]]|[[機炎方陣・守護>スキル一覧#kiensyugo]]||150|41|333|226|2210|[[レガリアシリーズ>武器概要/レガリアシリーズ]]|マルチバトル/マグナIIHL|シヴァHL|
|&attachref(img/1040418000.png,15%);|[[輝羅煌閃杖>武器/輝羅煌閃杖 (SSR)]]|COLOR(green):風|杖|120|[[虚幻裂空嵐>武器奥義#kogenrekkuu]]|[[嵐竜方陣・神威>スキル一覧#ranryuukamui]]|[[嵐竜方陣・克己>スキル一覧#ranryuukokki]]||150|51|324|302|2050|[[レガリアシリーズ>武器概要/レガリアシリーズ]]|マルチバトル/マグナIIHL|グリームニルHL|
|&attachref(img/1040418100.png,15%);|ディスターバンスシグナ|COLOR(green):風|杖|10|[[サンダストム・タービュランス>武器奥義#turbulence]]|[[風の神威>スキル一覧#kazenosini]]|[[風の守護>スキル一覧#kazenosyugo]]|||47|364|286|2158|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[フロレンス (SSR)]]加入|
|&attachref(img/1040418200.png,15%);|[[プレイ・オブ・テンペランス>武器/プレイ・オブ・テンペランス (SSR)]]|COLOR(green):風|杖|60|[[イェソド>武器奥義#yesod]]|[[隠者と節制の調和>スキル一覧#injyatosessei]]|[[セフィラマキシ・ウィンド>スキル一覧#sefiramaxiwind]]|| |42|328|265|2004|[[新世界の礎>武器概要/新世界の礎]]|[[レプリカルド・サンドボックス]]|「新世界の礎」でトレジャー交換|
|&attachref(img/1040418300.png,15%);|[[トロピカルウィンター>武器/トロピカルウィンター (SSR)]]|COLOR(red):火|杖|10|[[トロピカル・ワー>武器奥義#tropicalwar]]|[[業火の攻刃>スキル一覧#goukanokoujin]]|[[業火の守護>スキル一覧#goukanosyugo]]|||50|349|289|2143|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[ネモネ (SSR)クリスマスバージョン]]加入|
|&attachref(img/1040418400.png,15%);|[[セイントクリスタル>武器/セイントクリスタル (SSR)]]|COLOR(orange):光|杖|10|[[クリスタルフォール>武器奥義#crystalfall]]|[[天光の攻刃>スキル一覧#tennkounokoujin]]|[[光の守護>スキル一覧#hikarinosyugo]]|||52|339|301|2083|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ(期間限定)|[[リリィ (SSR)クリスマスバージョン]]加入|
|&attachref(img/1040418500.png,15%);|[[森神の祈杖>武器/森神の祈杖 (SSR)]]|COLOR(orange):光|杖|10|[[ブラッサム・レイ>武器奥義#blossamray]]|[[天光の渾身>スキル一覧#shiroboshinokonshin]]|[[レゾナンス・スタッフ>スキル一覧#resonansestaff]]|||55|325|305|2060|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[マイシェラ (SSR)]]加入|
|&attachref(img/1040418600.png,15%);|[[ウロボロス・オリジン>武器/ウロボロス・オリジン (SSR)]]|COLOR(orange):光|杖|40|[[アルス・マグナ・オリジン>武器奥義#arusmagnaorigin]]|[[天光の極意>スキル一覧#tenkounogokui]]|[[雷電の刹那>スキル一覧#raidennnosetuna]]||150|53|395|316|2369|[[リミテッドシリーズ>武器概要/リミテッドシリーズ]]|レジェンドガチャ(レジェンドフェス)|[[カリオストロ(リミテッド)>カリオストロ (SSR)リミテッドバージョン]]加入|
|&attachref(img/1040418700.png,11%);|[[ルナ・ベアラー>武器/ルナ・ベアラー (SSR)]]|COLOR(purple):闇|杖|10|[[セレノフィール>武器奥義#serenofeel]]|[[衛星の攻刃>スキル一覧#eiseinokoujin]]|[[ルナテック・エフェクト>スキル一覧#lunaticeffect]]|||16|383|196|1899|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/シナリオイベント|STAY MOON|
|&attachref(img/1040418800.png,11%);|[[ドナー・トレーネ>武器/ドナー・トレーネ (SSR)]]|COLOR(orange):光|杖|10|[[エンシェント・ゲイザー>武器奥義#ancient]]|[[光矢の攻刃>スキル一覧#kousinokoujin]]|[[見つめる瞳>スキル一覧#mitumeruhitomi]]|||33|298|199|1884|[[シナリオイベント武器>武器概要/シナリオイベント武器]]|イベント/シナリオイベント|偽りの英雄達|
|&attachref(img/1040418900.png,15%);|[[チャーミング・ブルーム>武器/チャーミング・ブルーム (SSR)]]|COLOR(red):火|杖|10|[[マジック・オブ・ハピネス>武器奥義#magicofhappiness]]|[[紅蓮の攻刃>スキル一覧#gurennokoujin]]|[[火の守護>スキル一覧#hinosyugo]]|||52|339|312|2028|[[キャラ解放武器>武器概要/キャラ解放武器(SSR)]]|レジェンドガチャ|[[ミランダ (SSR)]]加入|
